gamma,omega,M_m1,M_m2,M_m3,M_m4,Q
-500.0,21000.0,22579215.939962346,-63329672.05382622,-110598451.2186315,10625499.545218531,1.624266477440519e+16
-500.0,22000.0,22629030.327410694,-63336931.65729483,-112671304.59953335,11822028.456359025,1.670638979192166e+16
-500.0,23000.0,22678844.714859042,-63344191.26076344,-114744157.98043516,13018557.36749952,1.717870835711924e+16
-500.0,24000.0,22728659.10230739,-63351450.86423204,-116817011.361337,14215086.278640017,1.7659620469997946e+16
-500.0,25000.0,22778473.489755742,-63358710.467700645,-118889864.74223883,15411615.189780511,1.8149126130557764e+16
-500.0,26000.0,22828287.87720409,-63365970.07116925,-120962718.12314066,16608144.100921005,1.86472253387987e+16
-500.0,27000.0,22878102.26465244,-63373229.674637854,-123035571.50404249,17804673.0120615,1.915391809472075e+16
-500.0,28000.0,22927916.652100787,-63380489.27810646,-125108424.88494432,19001201.923201993,1.9669204398323924e+16
-500.0,29000.0,22977731.03954914,-63387748.88157506,-127181278.26584615,20197730.83434249,2.0193084249608212e+16
-500.0,30000.0,23027545.426997487,-63395008.48504367,-129254131.64674798,21394259.745482985,2.0725557648573616e+16
-500.0,31000.0,23077359.814445835,-63402268.08851227,-131326985.02764982,22590788.65662348,2.126662459522014e+16
-500.0,32000.0,23127174.201894183,-63409527.691980876,-133399838.40855163,23787317.567763973,2.1816285089547776e+16
-500.0,33000.0,23176988.58934253,-63416787.29544948,-135472691.78945345,24983846.478904467,2.2374539131556532e+16
-500.0,34000.0,23226802.976790883,-63424046.898918085,-137545545.1703553,26180375.39004496,2.294138672124641e+16
-500.0,35000.0,23276617.36423923,-63431306.50238669,-139618398.55125713,27376904.301185455,2.3516827858617404e+16
-500.0,36000.0,23326431.75168758,-63438566.10585529,-141691251.93215895,28573433.21232595,2.4100862543669508e+16
-500.0,37000.0,23376246.139135927,-63445825.709323905,-143764105.3130608,29769962.12346645,2.4693490776402736e+16
-500.0,38000.0,23426060.52658428,-63453085.31279251,-145836958.69396263,30966491.034606945,2.529471255681709e+16
-500.0,39000.0,23475874.914032627,-63460344.916261114,-147909812.07486445,32163019.94574744,2.5904527884912544e+16
-500.0,40000.0,23525689.301480975,-63467604.51972972,-149982665.45576626,33359548.856887933,2.6522936760689116e+16
-500.0,41000.0,23575503.688929323,-63474864.12319832,-152055518.8366681,34556077.76802842,2.7149939184146816e+16
-500.0,42000.0,23625318.076377675,-63482123.72666693,-154128372.21756995,35752606.679168925,2.7785535155285636e+16
-500.0,43000.0,23675132.463826023,-63489383.33013553,-156201225.59847176,36949135.59030941,2.842972467410556e+16
-500.0,44000.0,23724946.85127437,-63496642.933604136,-158274078.97937357,38145664.50144991,2.9082507740606604e+16
-500.0,45000.0,23774761.23872272,-63503902.53707274,-160346932.36027542,39342193.4125904,2.9743884354788772e+16
-500.0,46000.0,23824575.626171067,-63511162.140541345,-162419785.74117726,40538722.3237309,3.041385451665206e+16
-500.0,47000.0,23874390.01361942,-63518421.74400995,-164492639.12207907,41735251.23487139,3.1092418226196456e+16
-500.0,48000.0,23924204.401067767,-63525681.34747855,-166565492.50298092,42931780.14601189,3.1779575483421976e+16
-500.0,49000.0,23974018.788516115,-63532940.95094716,-168638345.88388276,44128309.05715239,3.2475326288328616e+16
-500.0,50000.0,24023833.175964464,-63540200.55441576,-170711199.26478457,45324837.96829288,3.317967064091636e+16
-500.0,51000.0,24073647.563412815,-63547460.157884374,-172784052.6456864,46521366.87943338,3.3892608541185224e+16
-500.0,52000.0,24123461.950861163,-63554719.76135298,-174856906.02658823,47717895.790573865,3.461413998913522e+16
-500.0,53000.0,24173276.33830951,-63561979.36482158,-176929759.40749007,48914424.70171437,3.534426498476633e+16
-500.0,54000.0,24223090.72575786,-63569238.96829019,-179002612.7883919,50110953.61285485,3.608298352807854e+16
-500.0,55000.0,24272905.113206208,-63576498.57175879,-181075466.1692937,51307482.523995355,3.683029561907187e+16
-500.0,56000.0,24322719.50065456,-63583758.175227396,-183148319.55019554,52504011.43513584,3.758620125774634e+16
-500.0,57000.0,24372533.888102908,-63591017.778696,-185221172.9310974,53700540.34627634,3.835070044410191e+16
-500.0,58000.0,24422348.275551256,-63598277.382164605,-187294026.3119992,54897069.257416844,3.91237931781386e+16
-500.0,59000.0,24472162.662999604,-63605536.98563321,-189366879.69290102,56093598.16855733,3.99054794598564e+16
