CODE,ORIG,FIRM_ID,YEAR,PRICE,QUANTITY,HP,LENGTH,WIDTH,SIZE,WEIGHT,FUEL,MPG,FUELPRICE,SEGMENT,steel_price,brand_id,model_id
20302,1,1,1995,34.9627,9,.0323004,174.4095,66.92913,1.167307,2786.344,1,53.45786,.51604,3,1,3,146
20304,1,1,1995,49.10632,1,.0356382,185.8268,68.89764,1.280303,3226.872,1,45.23357,.51604,4,1,3,148
20402,3,2,1995,28.96369,73,.031524,177.9528,72.04724,1.282101,3711.454,1,39.20243,.51604,5,1,4,175
20501,1,14,1995,16.00447,16793,.0365722,138.5827,61.02362,.8456817,1585.903,1,65.33739,.51604,1,1,5,48
20502,1,14,1995,33.14201,12,.0346325,185.4331,70.47244,1.306792,3176.211,1,48.00298,.51604,4,1,5,179
20503,1,14,1995,18.98903,4897,.031144,160.2362,66.53543,1.066139,2279.736,1,53.45786,.51604,2,1,5,185
20504,1,14,1995,21.41049,1705,.0266397,174.8031,68.89764,1.204352,2665.198,1,49.00304,.51604,3,1,5,177
20505,1,14,1995,31.99985,17,.0266888,175.1969,71.25984,1.24845,3447.136,1,38.55977,.51604,5,1,5,80
20702,1,4,1995,25.78521,329,.0391036,177.5591,69.29134,1.23033,3017.621,1,41.94792,.51604,3,1,7,71
20704,1,4,1995,23.25427,1693,.032688,148.4252,63.77953,.9466489,2202.643,1,47.04292,.51604,1,1,7,131
20705,1,4,1995,40.77018,3,.034519,171.2598,66.92913,1.146227,2665.198,1,52.94287,.51604,2,1,7,163
20706,1,4,1995,15.76731,13303,.0265856,155.9055,66.92913,1.043462,2444.934,1,48.75419,.51604,2,1,7,165
20707,1,4,1995,6.831065,412133,.0297537,145.2756,61.41732,.8922438,1949.339,1,53.6799,.51604,1,1,7,171
20709,1,4,1995,27.16015,147,.0249146,175.1969,72.04724,1.262245,3612.335,1,32.66869,.51604,5,1,7,170
20711,1,4,1995,11.37577,25828,.0268273,158.2677,68.89764,1.090427,2422.907,1,48.00298,.51604,2,1,7,54
20712,1,4,1995,20.18003,2715,.026115,164.5669,68.50394,1.127348,2488.987,1,48.00298,.51604,2,1,7,53
20801,1,5,1995,19.7564,3564,.0316313,161.6772,66.24409,1.071016,2379.956,1,51.6762,.51604,2,1,8,78
20802,1,5,1995,15.78543,17773,.0294486,147.2441,63.38583,.9333189,2037.445,1,57.36941,.51604,1,1,8,84
20803,1,5,1995,22.9835,921,.030561,176.378,67.7874,1.19562,2944.934,1,47.04292,.51604,3,1,8,109
20805,1,5,1995,31.34661,28,.0333184,189.7638,73.62205,1.39708,3451.542,1,39.20243,.51604,4,1,8,140
