year,state,basketball,cross_country,soccer,track_field
2001-02,South Dakota,3466.0,622.0,,2856.0
2001-02,Tennessee,4754.0,1980.0,4130.0,5160.0
2001-02,Texas,69975.0,28902.0,16698.0,65574.0
2001-02,Utah,2956.0,1163.0,2435.0,3156.0
2001-02,Vermont,1893.0,489.0,2531.0,1180.0
2001-02,Virginia,7768.0,3243.0,6418.0,11594.0
2001-02,Washington,9986.0,3252.0,8602.0,9191.0
2001-02,West Virginia,2526.0,639.0,1411.0,2271.0
2001-02,Wisconsin,13671.0,4865.0,7690.0,11119.0
2001-02,Wyoming,1608.0,331.0,606.0,1559.0
2002-03,Alabama,399.0,765.0,2769.0,4729.0
2002-03,Alaska,2003.0,810.0,866.0,842.0
2002-03,Arizona,6366.0,1829.0,4180.0,5072.0
2002-03,Arkansas,4381.0,537.0,839.0,2913.0
2002-03,California,33912.0,16618.0,35380.0,34378.0
2002-03,Colorado,7740.0,,5584.0,6703.0
2002-03,Connecticut,4263.0,2277.0,5188.0,9054.0
2002-03,Delaware,973.0,557.0,1228.0,344.0
2002-03,District of Columbia,260.0,140.0,98.0,1364.0
2002-03,Florida,11353.0,5344.0,12234.0,10724.0
2002-03,Georgia,9258.0,3690.0,7329.0,8193.0
