RANK,TEAM,W,L,WIN%,CONF,DIV,HOME,ROAD,OT,LAST 10,STREAK,YEAR
6,CONNECTICUT SUN,15,19,.441,6-16,0-0,8-9,7-10,3-2,3-7,W 1,2015
1,MINNESOTA LYNX,28,6,.824,15-1,0-0,15-2,13-4,1-3,8-2,W 2,2016
2,LOS ANGELES SPARKS,26,8,.765,11-5,0-0,14-3,12-5,2-0,5-5,W 2,2016
3,NEW YORK LIBERTY,21,13,.618,11-5,0-0,10-7,11-6,3-3,4-6,L 3,2016
4,CHICAGO SKY,18,16,.529,8-8,0-0,11-6,7-10,2-1,7-3,L 1,2016
5,INDIANA FEVER,17,17,.500,8-8,0-0,8-9,9-8,0-2,5-5,W 1,2016
6,ATLANTA DREAM,17,17,.500,9-7,0-0,11-6,6-11,4-1,5-5,L 1,2016
7,SEATTLE STORM,16,18,.471,7-9,0-0,10-7,6-11,0-1,7-3,W 1,2016
8,PHOENIX MERCURY,16,18,.471,6-10,0-0,11-6,5-12,1-1,6-4,W 2,2016
9,CONNECTICUT SUN,14,20,.412,4-12,0-0,8-9,6-11,1-3,6-4,W 3,2016
10,WASHINGTON MYSTICS,13,21,.382,8-8,0-0,5-12,8-9,3-1,4-6,L 2,2016
11,DALLAS WINGS,11,23,.324,8-8,0-0,6-11,5-12,2-2,2-8,L 2,2016
12,SAN ANTONIO STARS,7,27,.206,1-15,0-0,4-13,3-14,1-2,2-8,L 2,2016
1,MINNESOTA LYNX,27,7,.794,13-3,0-0,15-2,12-5,0-0,6-4,W 3,2017
2,LOS ANGELES SPARKS,26,8,.765,12-4,0-0,16-1,10-7,1-0,8-2,W 7,2017
3,NEW YORK LIBERTY,22,12,.647,11-5,0-0,13-4,9-8,1-0,10-0,W 10,2017
4,CONNECTICUT SUN,21,13,.618,10-6,0-0,12-5,9-8,0-0,6-4,L 2,2017
5,PHOENIX MERCURY,18,16,.529,7-9,0-0,9-8,9-8,2-1,5-5,W 3,2017
6,WASHINGTON MYSTICS,18,16,.529,12-4,0-0,11-6,7-10,2-0,4-6,L 1,2017
7,DALLAS WINGS,16,18,.471,7-9,0-0,10-7,6-11,1-2,5-5,L 1,2017
8,SEATTLE STORM,15,19,.441,8-8,0-0,10-7,5-12,0-3,5-5,W 1,2017
