id,year,Y,Y2,L,K,M,industry,country
89199,1995,164690.234375,38183.0234375,94.871994,57833.8046875,126507.2109375,"metal","chile"
89199,1996,231594.203125,76402.015625,92.423744,81024.96875,155192.1875,"metal","chile"
89253,1987,8101.923339844,4081.5390625,25.82461,36.99674987793,4020.384277344,"metal","chile"
89253,1988,11045.03320313,2797.406982422,21.978954,33.29707717896,8247.626953125,"metal","chile"
89271,1979,81641.6015625,68410.078125,414.53558,44541.6640625,13231.52441406,"metal","chile"
89271,1980,70231.0625,32866.8671875,287.42776,40414.27734375,37364.1953125,"metal","chile"
89271,1981,167691.984375,127761.390625,309.16043,36685.7421875,39930.59375,"metal","chile"
89271,1982,43608.4296875,31290.47460938,174.31628,33583.5390625,12317.95117188,"metal","chile"
89271,1983,32295.46484375,15241.03125,194.88588,30861.56640625,17054.43359375,"metal","chile"
89271,1984,56467.0390625,31387.234375,202.4184,28087.74414063,25079.80273438,"metal","chile"
89271,1985,67109.140625,41310.51953125,230.87737,25645.57421875,25798.6171875,"metal","chile"
89271,1986,87045.53125,45637.4375,384.17178,25640.27734375,41408.09375,"metal","chile"
89271,1987,91326.6875,44713.1640625,308.76974,26686.30273438,46613.52734375,"metal","chile"
89271,1988,133805.421875,89020.2890625,357.67593,29992.65039063,44785.140625,"metal","chile"
89271,1989,151405.640625,49117.7265625,371.47083,33854.4296875,102287.9140625,"metal","chile"
89271,1990,191042.046875,107996.0625,352.88937,43885.484375,83045.984375,"metal","chile"
89271,1991,178278.015625,104182.359375,368.97894,72604.390625,74095.65625,"metal","chile"
89271,1992,186300.875,109341.6015625,365.71622,86125.359375,76959.28125,"metal","chile"
89271,1993,261993.34375,191718.71875,376.26953,114156.2109375,70274.6328125,"metal","chile"
89271,1994,214796.421875,111164.375,366.4332,148490.234375,103632.046875,"metal","chile"
89271,1995,243925.078125,143949.53125,397.60663,158063.78125,99975.5390625,"metal","chile"
89271,1996,277588.34375,215753.5,335.56631,164926.828125,61834.84375,"metal","chile"
89379,1979,4279.811035156,3324.282470703,15.065926,861.3540039063,955.5284423828,"metal","chile"
89379,1980,7829.956054688,6130.668945313,24.336348,810.0367431641,1699.287597656,"metal","chile"
89379,1981,6884.52734375,4323.685546875,24.941088,747.75,2560.841796875,"metal","chile"
89379,1982,5080.080078125,3726.555908203,31.225534,678.2899169922,1353.524169922,"metal","chile"
89379,1983,3009.650878906,2486.076171875,33.508804,606.8778076172,523.5747680664,"metal","chile"
89379,1984,3507.44921875,1382.983032227,41.184731,543.5137939453,2124.466308594,"metal","chile"
89379,1985,2807.377441406,1624.481933594,24.425106,503.8001098633,1182.895385742,"metal","chile"
89379,1986,4920.706542969,1535.306884766,29.717527,514.5466308594,3385.399902344,"metal","chile"
89379,1987,3926.206298828,1177.077514648,41.186665,504.1155395508,2749.128662109,"metal","chile"
89379,1988,5452.83984375,1959.572509766,40.157131,453.6875610352,3493.267578125,"metal","chile"
89379,1989,4109.508300781,936.0141601563,28.185696,407.9791564941,3173.494140625,"metal","chile"
89379,1990,4667.650878906,1501.039794922,30.48344,367.0493164063,3166.611083984,"metal","chile"
89379,1991,5034.290039063,2165.723388672,27.159929,593.5288696289,2868.566650391,"metal","chile"
89379,1992,6775.567382813,3304.260498047,42.522118,759.0197143555,3471.306640625,"metal","chile"
89379,1993,8007.279785156,4502.754394531,45.431705,683.3560791016,3504.525634766,"metal","chile"
89379,1994,8991.052734375,5117.938476563,44.946774,615.3248901367,3873.113525391,"metal","chile"
89379,1995,10466.92773438,5901.829101563,44.946774,554.1442260742,4565.098632813,"metal","chile"
89379,1996,9127.547851563,6045.268066406,45.950829,499.1139526367,3082.279541016,"metal","chile"
89397,1979,18707.46679688,11759.67089844,43.346539,2328.622558594,6947.796386719,"metal","chile"
89397,1980,17116.61914063,6318.624023438,36.723194,2698.808105469,10797.99511719,"metal","chile"
89397,1981,11790.15820313,5081.153808594,37.382992,2650.621582031,6709.00390625,"metal","chile"
89397,1982,9389.204101563,3440.878417969,36.142342,2559.555419922,5948.325195313,"metal","chile"
89397,1983,6211.661621094,1256.628173828,34.472992,2323.167724609,4955.033691406,"metal","chile"
89397,1984,5504.73828125,1684.761352539,32.330074,2141.462402344,3819.977050781,"metal","chile"
89397,1985,6741.40234375,1721.293701172,31.172529,2070.670410156,5020.108398438,"metal","chile"
89397,1986,7418.23828125,1798.348876953,33.382385,1688.345336914,5619.889160156,"metal","chile"
89397,1987,6954.081054688,3018.490722656,37.871971,1433.857299805,3935.590332031,"metal","chile"
89397,1988,8398.887695313,2502.032714844,35.018181,1327.819091797,5896.854980469,"metal","chile"
89406,1979,861.6491088867,576.2979736328,8.6629066,175.7100524902,285.3511352539,"metal","chile"
89406,1980,4468.128417969,2389.810058594,33.661644,226.4558410645,2078.318603516,"metal","chile"
89406,1981,6153.988769531,1890.341796875,30.478882,288.9052124023,4263.646972656,"metal","chile"
89406,1982,4436.361328125,2477.083984375,31.201174,336.1730957031,1959.27734375,"metal","chile"
89406,1983,2046.908569336,712.5309448242,15.66299,301.5908813477,1334.377685547,"metal","chile"
89406,1984,2797.260253906,951.4240112305,23.634672,263.2234191895,1845.836181641,"metal","chile"
89406,1985,3826.600097656,1186.039306641,28.970629,392.9349975586,2640.560791016,"metal","chile"
89406,1986,5481.790527344,2266.824707031,27.353401,514.2252807617,3214.966064453,"metal","chile"
89406,1987,7583.385742188,1810.995483398,35.171635,622.1070556641,5772.390625,"metal","chile"
89514,1983,3232.871826172,999.319519043,18.429846,1063.259765625,2233.552246094,"metal","chile"
89622,1979,12471.45117188,7205.061035156,77.997856,2516.587890625,5266.389648438,"metal","chile"
89622,1980,14402.46582031,7551.944335938,82.611198,2488.178222656,6850.520996094,"metal","chile"
89622,1981,15321.93945313,8081.747070313,65.394264,2422.495117188,7240.192382813,"metal","chile"
89622,1982,8508.00390625,3017.636230469,43.830856,2185.092041016,5490.367675781,"metal","chile"
89622,1983,3773.3671875,785.471862793,27.00614,1972.763427734,2987.895263672,"metal","chile"
89631,1980,8840.211914063,4876.420410156,35.005089,2217.489746094,3963.791503906,"metal","chile"
89631,1981,5042.653320313,2193.264160156,18.895956,1971.294677734,2849.389160156,"metal","chile"
89631,1982,2703.913574219,1640.310546875,30.560802,1927.141967773,1063.603027344,"metal","chile"
89676,1979,16519.70117188,14478.27929688,29.379551,5566.831054688,2041.421142578,"metal","chile"
89676,1980,8495.265625,852.7358398438,29.207672,5291.666015625,7642.529785156,"metal","chile"
89676,1981,8050.748535156,1875.614990234,34.243332,4875.612304688,6175.133300781,"metal","chile"
89676,1982,6048.732910156,926.673828125,23.456903,4498.086914063,5122.059082031,"metal","chile"
89676,1983,13511.08105469,96.70888519287,52.947803,4272.196289063,13414.37207031,"metal","chile"
89676,1984,15041.83300781,5658.802734375,63.632736,4048.068359375,9383.030273438,"metal","chile"
89676,1985,15058.23242188,4319.187011719,52.921513,3742.353027344,10739.04589844,"metal","chile"
89676,1986,24390.52734375,10987.75976563,64.488319,3873.457763672,13402.76660156,"metal","chile"
89676,1987,25619.04492188,9893.840820313,38.154873,5995.035644531,15725.20507813,"metal","chile"
89676,1989,30224.78125,11386.66699219,95.887497,7652.533691406,18838.11328125,"metal","chile"
89676,1990,22537.40429688,51.58266448975,97.26284,7885.1796875,22485.82226563,"metal","chile"
89676,1991,22541.70507813,4020.278076172,110.61385,7598.400878906,18521.42578125,"metal","chile"
89676,1992,31340.01171875,16211.01855469,115.91531,7738.448242188,15128.99414063,"metal","chile"
89676,1993,38361.0546875,20785.33398438,84.518341,8365.373046875,17575.71875,"metal","chile"
89676,1994,35956.39453125,22126.90820313,75.466286,8942.478515625,13829.48535156,"metal","chile"
89676,1995,34203.1796875,18535.87304688,88.958679,8659.350585938,15667.3046875,"metal","chile"
89694,1979,1931.443115234,324.657989502,15.790238,3224.089355469,1606.78515625,"metal","chile"
89694,1980,4581.917480469,2538.416259766,27.776516,2909.771972656,2043.501464844,"metal","chile"
89901,1980,9862.409179688,5147.630371094,54.363781,1001.021118164,4714.778808594,"metal","chile"
89901,1981,12338.02148438,6883.348632813,71.191444,1199.377685547,5454.672851563,"metal","chile"
89901,1982,5344.430664063,3616.137939453,40.833035,1051.72253418,1728.29284668,"metal","chile"
89901,1983,5014.463378906,1861.072021484,33.92997,924.3765869141,3153.391113281,"metal","chile"
89901,1984,5385.005371094,2520.270507813,49.568043,814.1998291016,2864.734863281,"metal","chile"
89901,1985,5466.100097656,2574.562988281,49.890175,718.5885620117,2891.537109375,"metal","chile"
89901,1986,6272.713867188,712.2975463867,44.084835,635.3767089844,5560.416015625,"metal","chile"
89901,1987,5287.434570313,1082.833251953,43.397163,562.7567138672,4204.601074219,"metal","chile"
89901,1989,5112.441894531,1777.810302734,43.270237,443.4808654785,3334.631347656,"metal","chile"
89901,1990,7319.8671875,2972.365478516,48.210861,394.4825744629,4347.501464844,"metal","chile"
89901,1991,7094.67578125,2429.422119141,53.772163,351.3141784668,4665.25390625,"metal","chile"
89901,1992,4449.089355469,1880.616210938,52.719086,313.2066040039,2568.473388672,"metal","chile"
89901,1993,2592.630126953,1695.949462891,61.002872,279.505065918,896.6807861328,"metal","chile"
89901,1994,2792.095214844,1532.781494141,23.544683,249.6498565674,1259.313842773,"metal","chile"
89901,1995,2193.585449219,1354.273681641,36.914486,223.1611022949,839.3116455078,"metal","chile"
89901,1996,24722.00585938,15930.40625,82.287529,402.5818481445,8791.599609375,"metal","chile"
89946,1980,1501.840576172,247.3460693359,11.364579,398.548034668,1254.494506836,"metal","chile"
89946,1981,2144.758300781,504.8923950195,18.350035,472.890625,1639.865844727,"metal","chile"
89946,1982,3333.721923828,1952.325195313,14.742141,527.7764282227,1381.396728516,"metal","chile"
89946,1983,1540.255981445,561.6553344727,18.478476,544.2371826172,978.6006469727,"metal","chile"
89946,1984,1998.488891602,853.62890625,24.650345,572.6953125,1144.859985352,"metal","chile"
89946,1985,1764.348876953,817.3887329102,19.836596,550.2337646484,946.9600830078,"metal","chile"
89946,1986,1519.175048828,601.9629516602,19.508644,484.9348754883,917.2121582031,"metal","chile"
89946,1987,1534.51171875,670.2312011719,18.133301,494.2872009277,864.2805175781,"metal","chile"
89946,1988,2118.990722656,1063.526489258,16.070288,577.9907226563,1055.464355469,"metal","chile"
89946,1989,3005.002441406,1480.104370117,18.133301,619.9025878906,1524.898071289,"metal","chile"
89946,1990,2570.529296875,1531.267700195,18.540598,577.3070068359,1039.26159668,"metal","chile"
89946,1991,3423.247314453,2039.457397461,14.287647,613.1245727539,1383.789794922,"metal","chile"
89946,1992,2717.565917969,1595.401611328,17.897921,637.8115844727,1122.164428711,"metal","chile"
89946,1993,3522.696533203,2173.886230469,17.337173,968.029296875,1348.810180664,"metal","chile"
89946,1994,2887.733886719,2274.228027344,17.610916,1547.672485352,613.5056152344,"metal","chile"
89946,1995,2513.582763672,1857.591186523,17.095163,2112.234375,655.9915161133,"metal","chile"
90036,1979,2082.595214844,1468.079833984,10.687919,92.44002532959,614.5154418945,"metal","chile"
90036,1981,1455.842529297,903.3956298828,10.040166,75.05739593506,552.4468383789,"metal","chile"
90054,1982,3536.414550781,943.8904418945,18.965378,1101.583618164,2592.523925781,"metal","chile"
90054,1989,14846.31445313,7256.452148438,48.993538,828.7662353516,7589.861816406,"metal","chile"
90054,1990,17332.65039063,8278.798828125,45.801903,1243.373535156,9053.8515625,"metal","chile"
90054,1991,17456.99023438,8865.69921875,43.653625,1900.620361328,8591.291015625,"metal","chile"
90054,1992,13414.67773438,6156.77734375,42.707932,2112.095458984,7257.900878906,"metal","chile"
90054,1993,14082.90332031,8201.299804688,48.075932,1922.388427734,5881.603027344,"metal","chile"
90054,1994,12821.51171875,6185.734375,38.443279,1961.878295898,6635.77734375,"metal","chile"
90054,1995,14615.37695313,7753.196289063,41.844219,2397.563476563,6862.180175781,"metal","chile"
90054,1996,10418.84570313,4253.665039063,35.640224,2582.489746094,6165.180175781,"metal","chile"
90225,1979,14383.44824219,8824.541015625,33.568024,7144.137695313,5558.907226563,"metal","chile"
90234,1981,1835.071289063,1100.088134766,9.4215021,230.2610168457,734.983215332,"metal","chile"
90234,1982,1546.592041016,985.7115478516,9.4215021,207.2349090576,560.8806152344,"metal","chile"
90306,1979,14185.81445313,9163.006835938,92.202599,2460.319824219,5022.806640625,"metal","chile"
90306,1980,19537.27734375,12475.00390625,100.52122,2669.916992188,7062.274414063,"metal","chile"
90306,1981,48538.8125,21326.43359375,43.124264,2720.249267578,27212.38085938,"metal","chile"
90306,1982,18615.92578125,7855.129882813,111.32844,2396.273193359,10760.796875,"metal","chile"
90306,1983,14340.24511719,5514.845703125,93.610649,2134.665039063,8825.399414063,"metal","chile"
90306,1984,18412.97070313,8116.557128906,132.71486,3203.645019531,10296.41308594,"metal","chile"
90306,1985,20940.66015625,6633.193847656,128.30846,4244.640136719,14307.46679688,"metal","chile"
90315,1979,22815.765625,8080.901367188,62.121922,2453.068847656,14734.86425781,"metal","chile"
90315,1980,27274.74414063,10573.02539063,62.402348,3162.041748047,16701.71875,"metal","chile"
90315,1982,10349.3046875,3451.018310547,59.968029,3346.580078125,6898.286132813,"metal","chile"
90315,1983,7010.4140625,1888.430053711,47.27272,3220.647949219,5121.983886719,"metal","chile"
90315,1984,14136.03125,4898.38671875,64.253464,3078.732177734,9237.64453125,"metal","chile"
90315,1985,14695.59960938,4287.913085938,73.542389,2977.360351563,10407.6875,"metal","chile"
90315,1987,25699.06445313,8513.802734375,82.694824,3018.024414063,17185.26171875,"metal","chile"
90315,1992,47361.12109375,15955.07226563,113.43872,5573.657226563,31406.05078125,"metal","chile"
90315,1993,58717.0078125,28252.890625,86.728226,5544.717773438,30464.11523438,"metal","chile"
90315,1994,55494.6875,20216.75390625,107.1291,5090.252929688,35277.93359375,"metal","chile"
