"","id","displaced","EDUC","first.displaced","race","gender","year","earn","learn"
"2504",179,0,"HS",0,"White","Female",2009,30000,10.3089526606443
"2505",179,0,"HS",0,"White","Female",2011,40000,10.5966347330961
"2506",179,0,"HS",0,"White","Female",2013,42000,10.6454248972655
"2528",181,1,"HS",2003,"White","Male",2001,125000,11.7360690162844
"2529",181,1,"HS",2003,"White","Male",2003,75000,11.2252433925184
"2530",181,1,"HS",2003,"White","Male",2005,1e+05,11.5129254649702
"2531",181,1,"HS",2003,"White","Male",2007,65000,11.0821425488778
"2532",181,1,"HS",2003,"White","Male",2009,75000,11.2252433925184
"2533",181,1,"HS",2003,"White","Male",2011,85000,11.3504065354725
"2534",181,1,"HS",2003,"White","Male",2013,75000,11.2252433925184
"2584",185,1,"HS",2001,"White","Male",2001,15000,9.61580548008435
"2585",185,1,"HS",2001,"White","Male",2003,19000,9.85219425814858
"2586",185,1,"HS",2001,"White","Male",2005,34000,10.4341158035983
"2587",185,1,"HS",2001,"White","Male",2007,59000,10.9852927228879
"2588",185,1,"HS",2001,"White","Male",2009,56000,10.9331069697173
"2589",185,1,"HS",2001,"White","Male",2011,56000,10.9331069697173
"2590",185,1,"HS",2001,"White","Male",2013,69000,11.1418617835794
"2640",189,0,"COL",0,"White","Male",2001,73000,11.1982147201305
"2641",189,0,"COL",0,"White","Male",2003,80000,11.289781913656
"2642",189,0,"COL",0,"White","Male",2005,88000,11.3850920934603
"2643",189,0,"COL",0,"White","Male",2007,130000,11.7752897294377
"2644",189,0,"COL",0,"White","Male",2009,130000,11.7752897294377
"2645",189,0,"COL",0,"White","Male",2011,130000,11.7752897294377
"2646",189,0,"COL",0,"White","Male",2013,1e+05,11.5129254649702
"2654",190,0,"COL",0,"White","Female",2001,82000,11.3144745262464
"2655",190,0,"COL",0,"White","Female",2003,76000,11.2384886192685
"2656",190,0,"COL",0,"White","Female",2005,92000,11.4295438560312
"2657",190,0,"COL",0,"White","Female",2007,1e+05,11.5129254649702
"2658",190,0,"COL",0,"White","Female",2009,103000,11.5424842672118
"2659",190,0,"COL",0,"White","Female",2011,142000,11.8635823365834
"2660",190,0,"COL",0,"White","Female",2013,145000,11.8844890214027
"2668",191,0,"COL",0,"White","Male",2001,95000,11.4616321705827
"2669",191,0,"COL",0,"White","Male",2003,125000,11.7360690162844
